distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial
17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,171
17,Villaverde,2,San Cristóbal,172,172
17,Villaverde,3,Butarque,173,173
17,Villaverde,4,Los Rosales,174,174
17,Villaverde,5,Ángeles,175,175
18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,181
18,Villa de Vallecas,2,Santa Eugenia,182,182
18,Villa de Vallecas,3,Ensanche de Vallecas,183,183
19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,191
19,Vicalvaro,2,Valdebernardo,192,192
19,Vicalvaro,3,Valderrivas,193,193
19,Vicalvaro,4,El Cañaveral,194,194
20,San Blas-Canillejas,1,Simancas,201,201
20,San Blas-Canillejas,2,Hellín,202,202
20,San Blas-Canillejas,3,Amposta,203,203
20,San Blas-Canillejas,4,Arcos,204,204
20,San Blas-Canillejas,5,Rosas,205,205
20,San Blas-Canillejas,6,Rejas,206,206
20,San Blas-Canillejas,7,Canillejas,207,207
20,San Blas-Canillejas,8,El Salvador,208,208
21,Barajas,1,Alameda de Osuna,211,211
21,Barajas,2,Aeropuerto,212,212
21,Barajas,3,Casco Histórico de Barajas,213,213
21,Barajas,4,Timón,214,214
21,Barajas,5,Corralejos,215,215
